date and time, temperature, pump cooler freq, concentration, light intensity
2023-06-20 11:50:10, 30.75141, 16025, -410175.1, 4095.0
2023-06-20 11:50:10, 30.82697, 16025, -410175.1, 4095.0
2023-06-20 11:50:20, 30.86492, 16025, -410175.1, 4095.0
2023-06-20 11:50:31, 30.86998, 16025, -410175.1, 4095.0
2023-06-20 11:50:41, 30.74632, 16025, -410175.1, 4095.0
2023-06-20 11:50:10, 31.45761, 16025, -410175.1, 4095.0
2023-06-20 11:50:20, 31.52772, 16025, -410175.1, 4095.0
2023-06-20 11:50:31, 31.3144, 16025, -410175.1, 4095.0
2023-06-20 11:50:41, 31.21288, 16025, -410175.1, 4095.0
2023-06-20 11:50:10, 30.52952, 15015, -410175.1, 4095.0
2023-06-20 11:50:20, 30.34205, 15015, -410175.1, 4095.0
2023-06-20 11:50:31, 26.46927, 15015, -410175.1, 4095.0
2023-06-20 11:50:41, 26.4498, 15015, -410175.1, 4095.0
2023-06-20 11:50:51, 26.42086, 15015, -410175.1, 4095.0
2023-06-20 11:51:01, 26.42684, 15015, -410175.1, 4095.0
2023-06-20 11:51:11, 26.34891, 15015, -410175.1, 4095.0
2023-06-20 11:51:22, 26.40887, 15015, -2634.18, 1615.74
2023-06-20 11:51:32, 26.37284, 15015, -2012.82, 1595.39
2023-06-20 11:51:42, 26.36684, 15015, -827.3311, 1593.55
2023-06-20 11:51:52, 26.34286, 15015, 121.1665, 1600.05
2023-06-20 11:52:03, 26.40283, 15015, -478.6909, 1596.82
2023-06-20 11:52:13, 26.36086, 15015, 8793.74, 1568.75
2023-06-20 11:52:23, 26.36686, 15015, 5226.165, 1569.09
2023-06-20 11:52:33, 26.37889, 15015, 6392.73, 1570.98
2023-06-20 11:52:43, 26.39088, 15015, 5925.148, 1572.83
2023-06-20 11:52:54, 26.42686, 15015, 6669.622, 1571.13
2023-06-20 11:53:05, 26.41485, 15015, 7229.502, 1570.6
2023-06-20 11:53:18, 26.45687, 15015, 7609.622, 1565.1
2023-06-20 11:53:31, 26.40884, 15015, 9113.927, 1566.51
2023-06-20 11:53:43, 26.37885, 15015, 7853.977, 1567.95
2023-06-20 11:53:56, 26.42685, 15015, 9139.022, 1574.08
2023-06-20 11:54:08, 26.43284, 15015, 7615.197, 1570.79
2023-06-20 11:54:21, 26.37884, 15015, 7945.625, 1571.4
2023-06-20 11:54:33, 26.40283, 15015, 6716.696, 1575.91
2023-06-20 11:54:47, 26.41484, 15015, 8103.995, 1570.42
2023-06-20 11:55:00, 26.44485, 15015, 6744.436, 1580.83
2023-06-20 11:55:14, 26.41485, 15015, 7890.076, 1572.56
2023-06-20 11:55:28, 26.42083, 15015, 6697.331, 1574.3
2023-06-20 11:55:42, 26.41484, 15015, 6982.738, 1571.36
2023-06-20 11:50:10, 26.31286, 15015, 7795.624, 1572.6
2023-06-20 11:50:20, 26.40884, 15015, 7379.281, 1565.67
2023-06-20 11:50:10, 26.31887, 15015, 17156.14, 1567.98
2023-06-20 11:50:20, 26.42686, 15015, 15275.01, 1573.78
2023-06-20 11:50:31, 26.42083, 15015, 18060.34, 1564.72
2023-06-20 11:50:10, 26.38485, 15015, 22330.45, 1568.1
2023-06-20 11:50:20, 26.40284, 15015, 20382.05, 1567.99
2023-06-20 11:50:31, 26.43886, 15015, 22196.8, 1567.71
2023-06-20 11:50:41, 26.43285, 15015, 21198.65, 1571.83
2023-06-20 11:50:10, 26.35484, 15015, 19367.65, 1572.15
2023-06-20 11:50:10, 26.36684, 15015, 21595.93, 1571.95
2023-06-20 11:50:20, 26.4809, 15015, 20735.14, 1567.3
2023-06-20 11:50:31, 26.45686, 15015, 19719.95, 1581.16
2023-06-20 11:50:41, 26.40885, 15015, 19384.98, 1583.82
2023-06-20 11:50:51, 26.52295, 15015, 20680.15, 1579.41
2023-06-20 11:51:01, 26.43284, 15015, 19468.68, 1579.04
2023-06-20 11:51:12, 26.45085, 15015, 18836.8, 1574.55
2023-06-20 11:51:22, 26.46286, 15015, 18318.06, 1577.57
2023-06-20 11:51:32, 26.44487, 15015, 18836.8, 1576.01
2023-06-20 11:51:42, 26.44488, 15015, 18842.57, 1577.55
2023-06-20 11:51:52, 26.48695, 15015, 20503.59, 1576.57
2023-06-20 11:52:03, 26.46287, 15015, 18640.75, 1574.88
2023-06-20 11:52:13, 26.4809, 15015, 21433.49, 1571.89
2023-06-20 11:52:23, 26.46891, 15015, 20711.99, 1574.68
2023-06-20 11:52:34, 26.42686, 15015, 21131.99, 1572.57
2023-06-20 11:52:44, 26.46288, 15015, 20356.01, 1580.58
2023-06-20 11:52:55, 26.44487, 15015, 21401.6, 1572.99
2023-06-20 11:53:06, 26.46886, 15015, 22086.45, 1573.25
2023-06-20 11:53:17, 26.44485, 15015, 19419.64, 1580.24
2023-06-20 11:53:28, 26.43886, 15015, 20775.68, 1576.02
2023-06-20 11:50:10, 26.39685, 15015, 21462.47, 1570.01
2023-06-20 11:50:20, 26.46285, 15015, 20248.98, 1579.55
2023-06-20 11:50:31, 26.45686, 15015, 20173.77, 1571.45
2023-06-20 11:50:41, 26.4929, 15015, 19159.86, 1574.51
2023-06-20 11:50:51, 26.46288, 15015, 22179.36, 1575.96
2023-06-20 11:51:01, 26.49293, 15015, 20095.7, 1568.04
2023-06-20 11:51:12, 26.47487, 15015, 19907.79, 1574.09
2023-06-20 11:51:22, 26.46888, 15015, 20405.18, 1570.73
2023-06-20 11:50:10, 26.41485, 15015, 22347.9, 1571.49
2023-06-20 11:50:10, 26.40286, 15015, 25341.9, 1570.3
2023-06-20 11:50:20, 26.48087, 15015, 22089.34, 1576.92
2023-06-20 11:50:31, 26.47489, 15015, 20630.92, 1571.61
2023-06-20 11:50:41, 26.48088, 15015, 21691.65, 1572.31
2023-06-20 11:50:10, 26.63718, 15015, -6420.845, 1671.68
2023-06-20 11:50:10, 26.72747, 15015, -4126.357, 1671.45
2023-06-20 11:50:20, 26.87813, 15015, -4315.497, 1670.87
2023-06-20 11:50:31, 26.8329, 15015, -8261.214, 1669.71
2023-06-20 11:50:41, 26.90224, 15015, -8399.708, 1668.03
2023-06-20 11:50:51, 26.81176, 15015, -7875.196, 1674.38
2023-06-20 11:51:01, 26.81179, 15015, -7831.714, 1674.58
2023-06-20 11:51:12, 26.79973, 15015, -6658.109, 1671.49
2023-06-20 11:51:22, 26.89625, 15015, -7453.533, 1677.16
2023-06-20 11:51:32, 26.84497, 15015, -6568.116, 1672.87
2023-06-20 11:50:10, 26.81784, 15015, 22455.4, 1567.6
2023-06-20 11:50:20, 26.90227, 15015, 19246.41, 1572.54
2023-06-20 11:50:31, 26.88416, 15015, 18949.27, 1569.92
2023-06-20 11:50:41, 26.35228, 15015, 17903.52, 1583.2
2023-06-20 11:50:51, -40.14994, 1, 18499.54, 1576.91
2023-06-20 11:51:01, 17.60505, 15015, 19064.67, 1575.11
2023-06-20 11:51:11, 15.71016, 1, 19783.56, 1579.72
2023-06-20 11:51:21, 15.58097, 1, 18453.44, 1577.09
2023-06-20 11:51:31, 15.24479, 1, 18862.73, 1580.62
2023-06-20 11:51:41, 15.08071, 1, 17052.55, 1586.06
2023-06-20 11:51:51, 15.71885, 1, 16673.6, 1588.7
2023-06-20 11:52:01, 15.47724, 1, 16920.45, 1584.65
2023-06-20 11:52:11, 15.1928, 1, 16659.24, 1582.35
2023-06-20 11:52:21, 15.27069, 1, 17515.24, 1585.46
2023-06-20 11:52:31, 15.18452, 1, 17296.78, 1590.49
2023-06-20 11:52:41, 15.27936, 1, 16550.19, 1594.41
2023-06-20 11:52:51, 15.39138, 1, 17377.21, 1585.8
2023-06-20 11:50:10, 14.88232, 1, 18263.36, 1583.57
2023-06-20 11:50:20, 15.25148, 1, 15095.1, 1595.46
2023-06-20 11:50:30, 15.47573, 1, 15590.11, 1590.38
2023-06-20 11:50:40, 15.21894, 1, 14892.1, 1588.94
2023-06-20 11:50:50, 15.27921, 1, 15003.59, 1596.43
2023-06-20 11:51:00, 15.34833, 1, 14717.77, 1593.44
2023-06-20 11:51:10, 15.47746, 1, 14514.9, 1591.38
2023-06-20 11:51:20, 15.3569, 1, 14023.92, 1592.49
2023-06-20 11:51:30, 15.37233, 1, 14514.9, 1596.43
2023-06-20 11:51:40, 15.13247, 1, 15326.82, 1595.63
2023-06-20 11:51:50, 15.22735, 1, 15263.85, 1590.56
2023-06-20 11:52:00, 15.39812, 1, 15799.15, 1592.88
2023-06-20 11:52:10, 15.13269, 1, 14966.43, 1591.5
2023-06-20 11:52:20, 15.36537, 1, 14803.47, 1591.87
2023-06-20 11:52:30, 15.40002, 1, 15117.96, 1594.23
2023-06-20 11:52:40, 15.36541, 1, 14760.59, 1597.0
2023-06-20 11:52:50, 15.46034, 1, 13895.56, 1593.88
2023-06-20 11:53:00, 15.64123, 1, 14609.18, 1594.93
2023-06-20 11:53:10, 15.58964, 1, 15515.67, 1594.76
2023-06-20 11:53:20, 15.40006, 1, 14260.78, 1598.3
2023-06-20 11:53:30, 15.34821, 1, 14363.57, 1595.86
2023-06-20 11:53:40, 15.46902, 1, 13938.31, 1593.85
2023-06-20 11:53:50, 15.262, 1, 13983.95, 1594.83
2023-06-20 11:54:00, 15.47753, 1, 13912.64, 1595.57
2023-06-20 11:54:10, 15.31377, 1, 14237.95, 1591.78
2023-06-20 11:54:20, 15.27908, 1, 14497.78, 1594.86
2023-06-20 11:54:30, 15.61547, 1, 15252.42, 1591.38
2023-06-20 11:54:40, 15.40867, 1, 15592.98, 1596.98
2023-06-20 11:54:50, 15.00001, 1, 14075.28, 1594.88
2023-06-20 11:55:00, 15.45168, 1, 13721.61, 1595.97
2023-06-20 11:55:10, 15.50335, 1, 15198.06, 1597.75
2023-06-20 11:55:20, 15.41722, 1, 14132.34, 1597.92
2023-06-20 11:55:30, 15.40854, 1, 14295.04, 1591.46
2023-06-20 11:55:40, 15.54478, 1, 15449.83, 1594.65
2023-06-20 11:55:50, 15.19847, 1, 14789.21, 1598.48
2023-06-20 11:56:00, 15.50327, 1, 14272.19, 1593.78
2023-06-20 11:56:10, 15.39139, 1, 13752.97, 1594.52
2023-06-20 11:56:20, 15.39139, 1, 14912.08, 1595.15
2023-06-20 11:56:30, 15.46032, 1, 15358.29, 1596.34
2023-06-20 11:56:40, 15.39994, 1, 14360.73, 1598.05
2023-06-20 11:56:50, 15.51189, 1, 14394.98, 1590.24
2023-06-20 11:57:00, 15.64997, 1, 14115.23, 1593.34
2023-06-20 11:57:10, 15.44314, 1, 13513.47, 1590.69
2023-06-20 11:57:20, 15.51208, 1, 14166.6, 1591.12
2023-06-20 11:57:30, 15.49477, 1, 14940.68, 1597.02
2023-06-20 11:57:40, 15.38274, 1, 14220.84, 1595.16
2023-06-20 11:57:50, 15.62413, 1, 14023.92, 1597.82
2023-06-20 11:58:00, 15.55302, 1, 15415.51, 1589.21
2023-06-20 11:58:11, 15.36547, 1, 13522.03, 1589.85
2023-06-20 11:58:21, 15.33958, 1, 13983.95, 1591.82
2023-06-20 11:58:31, 15.62412, 1, 13735.85, 1591.03
2023-06-20 11:58:41, 15.33105, 1, 15581.51, 1596.52
2023-06-20 11:58:51, 15.55153, 1, 14843.49, 1596.64
2023-06-20 11:59:01, 15.34825, 1, 14540.63, 1596.28
2023-06-20 11:59:11, 15.48622, 1, 15086.51, 1593.23
